_id,owner,address,suburb,postcode,capacity,pictures,longitude,latitude
0,root@gmail.com,15 Chapel Street,Randwick,2031.0,8,image/157.jpg;image/280.jpg;image/144.jpg,151.246228,-33.9099367
1,u87n@163.com,21 Carey Street,Randwick,2031.0,7,image/159.jpg;image/69.jpg;image/250.jpg;image/172.jpg;image/117.jpg,151.2522971,-33.9082003
2,12THxPHQO9@qq.com,13 Sully Street,Randwick,2031.0,5,image/7.jpg;image/78.jpg;image/274.jpg,151.2471536,-33.9229083
3,Db@gmail.com,7 Dunley Place,Castle Hill,2154.0,4,image/233.jpg;image/181.jpg;image/26.jpg;image/175.jpg,151.0291576,-33.717633
4,Db@gmail.com,11 Osborne Street,Wollongong,2500.0,3,image/110.jpg;image/208.jpg;image/250.jpg;image/264.jpg,150.8854479,-34.4276021
5,o4G5BhZBy3@hotmail.com,29 Campbell Avenue,Darlinghurst,2021.0,4,image/106.jpg;image/113.jpg;image/269.jpg,151.2228746,-33.8809884
6,1LCd5XXRL5f@qq.com,7 Talisman Avenue,Castle Hill,2154.0,6,image/24.jpg;image/65.jpg,150.99225980000003,-33.7422894
7,tlpIOtm6SbUsYD@yahoo.com,17 Bilgola Street,Campbelltown,2560.0,2,image/156.jpg;image/140.jpg;image/189.jpg;image/164.jpg,150.82643480000004,-34.0712948
8,ejmbXwFb3X8Kr@163.com,7 White Avenue,Bankstown,2200.0,2,image/26.jpg;image/70.jpg;image/10.jpg;image/15.jpg,151.0296014,-33.9260333
9,Wxj@163.com,13 Paton Street,Kingsford,2032.0,8,image/116.jpg;image/3.jpg;image/4.jpg;image/56.jpg,151.2368609,-33.926405200000005
10,m@yahoo.com,3 Sydney Road,Liverpool,2170.0,4,image/142.jpg;image/68.jpg;image/65.jpg;image/87.jpg;image/12.jpg,150.923562,-33.914505600000005
11,5PQCl@gmail.com,3 Tarakan Street,Auburn,2144.0,6,image/289.jpg;image/26.jpg;image/111.jpg,151.0191696,-33.8733463
12,9qDKDEYe3KGF@163.com,13 Goodrich Avenue,Kingsford,2032.0,6,image/88.jpg;image/252.jpg,151.21837219999995,-33.9188273
