owner,address,suburb,postcode,capacity,startDate,endDate,price,longitude,latitude
tR7jnFYxmGS@yahoo.com,7 Berripa Close,North Ryde,2113.0,6,2018-12-05,2018-12-08,328,151.1220925,-33.8050749
Ayf@hotmail.com,13 Ollie Place,Castle Hill,2154.0,3,2019-03-12,2019-03-18,364,151.02171090000004,-33.7262183
Bt9zZona2au@hotmail.com,9 Brosnan Place,Castle Hill,2154.0,4,2019-05-18,2019-05-20,351,151.02305230000005,-33.7234189
QOiqW6LbDBF@gmail.com,25 Clarice Crescent,Campbelltown,2560.0,8,2019-05-14,2019-05-20,362,150.8243427,-34.0680196
BWwieP4z63px@163.com,9 Gate 6 Avenue,Randwick,2031.0,6,2018-11-08,2018-11-11,299,151.23653000000004,-33.91643
vo@hotmail.com,23 Kennedy Lane,Kingsford,2032.0,7,2019-05-17,2019-05-19,318,151.2330283,-33.9225059
JX7N4sdMiBWHeuX@qq.com,15 Verona Street,Auburn,2144.0,6,2019-05-21,2019-05-24,316,151.0310361,-33.845846200000004
NxnNYtbRxMReuUF@163.com,27 De La Salle Place,Castle Hill,2154.0,6,2018-10-16,2018-10-19,369,151.026202,-33.7241873
jhvSFG7S4BNW@yahoo.com,27 William Street,Randwick,2031.0,1,2018-08-23,2018-08-24,388,151.234354,-33.9083148
g8Zthlc0zKDcMA2@gmail.com,27 Cardiff Street,Blacktown,2148.0,4,2019-01-04,2019-01-06,364,150.91613049999995,-33.7663821
clh@hotmail.com,17 Pentonville Parade,Castle Hill,2154.0,7,2019-05-16,2019-05-22,274,150.9727148,-33.72204620000001
XpRaxd@hotmail.com,15 Meroo Street,Auburn,2144.0,5,2019-07-31,2019-08-01,296,151.0195246,-33.8686623
NxnNYtbRxMReuUF@163.com,11 Edward Street,Baulkham Hills,2153.0,5,2019-08-04,2019-08-09,315,150.9956761,-33.7483907
c16Uqdz0U@163.com,9 Prince Street,Blacktown,2148.0,3,2018-11-18,2018-11-19,337,150.91105969999995,-33.7655336
xn3ZFu@163.com,23 Jennifer Place,Baulkham Hills,2153.0,7,2019-04-13,2019-04-20,253,150.9719842,-33.76756470000001
B7tQhuSHvvj@yahoo.com,27 Barker Street,Kingsford,2033.0,8,2019-07-14,2019-07-20,300,151.22801819999995,-33.9195408
WtANcM@hotmail.com,27 Partridge Avenue,Castle Hill,2154.0,4,2019-01-25,2019-01-27,376,150.9879689,-33.7307302
foPb@163.com,15 Campbell Street,Auburn,2150.0,3,2019-05-16,2019-05-19,256,150.9993613,-33.8186599
dvG@yahoo.com,21 Burragulung Street,Randwick,2031.0,3,2019-08-05,2019-08-10,314,151.24918300000004,-33.930081
Y5I95@gmail.com,9 Druitt Lane,Sydney,2770.0,8,2018-12-07,2018-12-11,303,150.81553069999995,-33.75808370000001
vo@hotmail.com,25 Torton Place,Penrith,2750.0,8,2019-01-12,2019-01-16,323,150.69672350000005,-33.760090999999996
pY6jhQ@qq.com,21 Reilly Street,Liverpool,2170.0,8,2019-03-18,2019-03-25,392,150.913486,-33.9340382
jhvSFG7S4BNW@yahoo.com,9 Marion Street,Bankstown,2200.0,6,2019-06-26,2019-06-28,398,151.03260319999995,-33.9171068
xn3ZFu@163.com,13 Harvey Street,Parramatta,2150.0,2,2018-12-28,2019-01-03,336,151.0154119,-33.8131744
Rk0GARU8Ueeno@163.com,7 Little Street,Parramatta,2150.0,4,2019-02-04,2019-02-07,302,151.0082066,-33.81701830000001
Rk0GARU8Ueeno@163.com,1 Raglan Parade,Castle Hill,2154.0,5,2018-12-09,2018-12-11,381,150.96910390000005,-33.719416100000004
Ej8Lo0fzr@gmail.com,29 Vales Lane,Auburn,2144.0,5,2019-04-21,2019-04-27,305,151.0323061,-33.849785499999996
0W0PZ@gmail.com,1 Hickeys Lane,Penrith,2750.0,7,2019-01-11,2019-01-17,374,150.7046796,-33.7404397
m@yahoo.com,27 Kay Street,Blacktown,2148.0,1,2019-03-01,2019-03-07,316,150.9103048,-33.787158700000006
Xy@hotmail.com,25 Apex Street,Blacktown,2148.0,3,2019-02-12,2019-02-17,380,150.89716040000005,-33.7866698
c16Uqdz0U@163.com,1 Riley Street,Penrith,2750.0,4,2018-09-20,2018-09-26,251,150.6937459,-33.752301700000004
N0yvzkyQ1eX@yahoo.com,7 Rowe Street,Manly,2096.0,4,2018-09-18,2018-09-22,333,151.2789696,-33.78012329999999
iCnF7eAMj@hotmail.com,17 Darwin Road,Campbelltown,2560.0,3,2019-05-17,2019-05-20,369,150.8330891,-34.070173600000004
1ereqzW9dU@gmail.com,23 Lyton Street,Blacktown,2148.0,7,2019-08-07,2019-08-11,270,150.8942632,-33.760073799999994
Zujbx6J@yahoo.com,25 Mcintyre Place,Castle Hill,2154.0,8,2019-04-19,2019-04-24,375,150.99773019999995,-33.7153784
jGDRtOJlwggv@163.com,3 Rawson Street,Auburn,2144.0,3,2019-04-04,2019-04-07,322,151.0381506,-33.8516217
p@gmail.com,23 Colo Place,Campbelltown,2560.0,1,2018-08-27,2018-08-28,390,150.83069719999997,-34.0738841
JX7N4sdMiBWHeuX@qq.com,25 M2 Motorway,North Ryde,2113.0,4,2019-08-19,2019-08-21,363,151.136014,-33.792215500000005
DCfTVXI@yahoo.com,29 Erby Place,Parramatta,2150.0,5,2018-12-07,2018-12-10,315,151.00447140000003,-33.8126718
dD@gmail.com,13 Union Lane,Pyrmont,2009.0,8,2019-01-03,2019-01-06,397,151.1956004,-33.8700735
GucBiWCOa8asWqU@gmail.com,11 Cassola Place,Penrith,2750.0,1,2019-03-17,2019-03-23,278,150.6891831,-33.736335700000005
QOiqW6LbDBF@gmail.com,3 Yallambee Court,Baulkham Hills,2153.0,4,2019-01-07,2019-01-11,313,150.96157639999996,-33.75351679999999
0@yahoo.com,21 Whittell Street,Surry Hills,2010.0,1,2019-06-12,2019-06-17,308,151.2149026,-33.889214
1jvSIwrAV64yq@gmail.com,21 Istana Street,Campbelltown,2560.0,6,2018-11-16,2018-11-21,266,150.80068300000005,-34.0778864
NpUAcXNwNn@163.com,23 Green Road,Castle Hill,2154.0,2,2018-11-15,2018-11-21,379,150.9738924,-33.711395700000004
Ouaj@qq.com,17 Wrights Road,Castle Hill,2155.0,6,2019-03-28,2019-03-30,387,150.9645314,-33.7171512
ivAquup5g@hotmail.com,23 Echo Place,Penrith,2750.0,1,2019-04-15,2019-04-20,275,150.70870680000004,-33.7363583
Ej8Lo0fzr@gmail.com,11 Templeton Crescent,Baulkham Hills,2153.0,4,2019-05-23,2019-05-27,363,150.9840813,-33.7468992
a1qKAsQSZzTm@gmail.com,19 Illawong Avenue,Penrith,2750.0,4,2018-09-30,2018-10-06,341,150.7090342,-33.741781599999996
NwFYhZBT2m@163.com,7 Braemore Court,Castle Hill,2154.0,8,2018-10-28,2018-10-30,374,151.02516709999998,-33.7137841
nEPP9TXtr1yFx@163.com,1 Benbullen Way,Castle Hill,2154.0,8,2019-08-15,2019-08-21,252,150.9993593,-33.7147191
jGDRtOJlwggv@163.com,11 Oyama Avenue,Manly,2095.0,2,2018-09-08,2018-09-12,369,151.2835563,-33.80577589999999
YVv7a2h@qq.com,11 Oxford Square,Darlinghurst,2021.0,1,2018-08-31,2018-09-02,372,151.2194133,-33.882116100000005
KRSJlXAwzGA3w@yahoo.com,23 Marina Road,Baulkham Hills,2153.0,6,2019-08-20,2019-08-23,325,150.9657662,-33.762102
i1w9Z@gmail.com,1 Broughton Avenue,Castle Hill,2154.0,3,2018-09-20,2018-09-25,312,151.0245758,-33.7276666
sYpjbLjpe@gmail.com,29 Steel Street,Newcastle,2299.0,8,2018-09-25,2018-10-02,365,151.6977221,-32.9052078
JX7N4sdMiBWHeuX@qq.com,27 Kinley Place,Baulkham Hills,2153.0,3,2019-01-25,2019-01-28,349,150.9905061,-33.7578059
B7tQhuSHvvj@yahoo.com,3 Roxborough Park Road,Castle Hill,2153.0,7,2018-12-29,2019-01-02,381,150.9867185,-33.7496528
NpUAcXNwNn@163.com,19 Theresa Street,Blacktown,2148.0,1,2019-08-15,2019-08-19,349,150.9011676,-33.7809494
owr3Kp@gmail.com,11 Hillview Street,Auburn,2144.0,3,2018-11-16,2018-11-18,306,151.0253262,-33.8676658
CJkZkFKc0QHH@hotmail.com,17 Darrambal Avenue,Baulkham Hills,2153.0,5,2018-09-10,2018-09-15,375,151.0038873,-33.758878100000004
e5wj@yahoo.com,27 Lynstock Avenue,Castle Hill,2154.0,3,2019-05-19,2019-05-25,347,151.010324,-33.726605299999996
Zujbx6J@yahoo.com,3 Stephen Street,Blacktown,2148.0,4,2018-10-12,2018-10-19,338,150.9154743,-33.754734
Bt9zZona2au@hotmail.com,27 Whittell Street,Surry Hills,2010.0,3,2018-10-04,2018-10-07,318,151.21516409999995,-33.8892489
N0yvzkyQ1eX@yahoo.com,3 Christopher Street,Baulkham Hills,2153.0,3,2018-11-21,2018-11-27,295,150.9934994,-33.750299
vo@hotmail.com,29 Birch Grove,Baulkham Hills,2153.0,6,2018-10-27,2018-11-02,365,151.003375,-33.7620769
ZwjiyF7ScVZo@yahoo.com,23 Stringybark Place,Castle Hill,2154.0,1,2018-09-11,2018-09-16,369,151.01537240000005,-33.7423699
BWwieP4z63px@163.com,1 Jennifer Avenue,Blacktown,2148.0,4,2018-09-23,2018-09-26,254,150.8896737,-33.774864799999996
YVv7a2h@qq.com,17 St James Road,Sydney,2022.0,1,2019-06-22,2019-06-28,394,151.24177949999995,-33.8937706
sypTI5PXCr@gmail.com,7 Burrell Crescent,Baulkham Hills,2153.0,3,2019-01-01,2019-01-06,273,150.9858091,-33.7612874
Bt9zZona2au@hotmail.com,1 Pacific Lane,Manly,2095.0,3,2018-10-05,2018-10-06,318,151.2853698,-33.788003100000005
clh@hotmail.com,3 Eagar Street,Sydney,2000.0,1,2018-09-25,2018-09-28,348,151.2049834,-33.87698579999999
jGDRtOJlwggv@163.com,11 Burbong Street,Kingsford,2032.0,7,2019-06-01,2019-06-06,333,151.2373136,-33.930391799999995
98@hotmail.com,7 Wansey Road,Randwick,2031.0,3,2018-10-14,2018-10-20,291,151.2356996,-33.9127056
